"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"sg_lasso","Spain","Revenues","2013-01-01",-1814.58066438656,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-01-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-01-02",-1814.58066438656,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-01-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-01-05",-1814.58066438656,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-01-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-01-15",1665.83228426529,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-01-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-01-27",2403.15665038377,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-01-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-01-31",2403.15665038377,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-01-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-02-01",7191.4444988082,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-02-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-02-05",7191.4444988082,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-02-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-02-15",3061.1206245987,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-02-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-02-27",2323.79625848023,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-02-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-02-28",2323.79625848023,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-02-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-03-01",734.907756689617,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-03-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-03-05",1005.83730891718,NA,0.00437973617638005,0.5,0.619019877454595,8,8,8,2013-03-01,576,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; Hourly earnings_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-03-15",915.932945171089,NA,0.0892910934789438,0.5,1.23227468140662,5,5,5,2013-03-01,1180,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-03-27",1144.49941266496,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-03-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-03-28",1144.49941266496,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-03-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-04-01",-1971.89697015655,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-04-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-04-05",-1971.89697015655,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-04-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-04-15",-2116.52775166638,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-04-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-04-25",-2116.52775166638,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-04-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-04-27",-1344.91086474453,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-04-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-05-01",590.898706594667,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-05-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-05-03",590.898706594667,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-05-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-05-05",590.898706594667,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-05-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-05-15",1077.61489125245,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-05-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-05-27",1445.14204276178,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-05-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-05-30",1445.14204276178,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-05-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-06-01",2536.7392405325,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-06-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-06-05",2309.26555175392,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-06-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-06-06",2309.26555175392,NA,0.0264038480749182,0.5,0.882385264894182,7,7,7,2013-06-01,1180,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; IP_leg0; Private consumption_leg0; HICPX_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-06-15",-295.58478502784,NA,0.0116773223455472,0.5,0.957433867470727,9,9,9,2013-06-01,-998,"Total revenues accrual","Y_lag1; Payroll Mass_leg0; ESI_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-06-27",-149.949175794629,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-06-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-07-01",2565.71586544958,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-07-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-07-05",2609.51052316268,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-07-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-07-15",542.20294907224,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-07-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-07-25",542.20294907224,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-07-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-07-27",-1209.96629581267,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-07-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-08-01",-6853.74844029515,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-08-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-08-04",-6851.00275163671,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-08-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-08-05",-6858.75959943232,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-08-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-08-15",-5005.0332950359,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-08-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-08-27",-3816.72837401717,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-08-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-08-29",-3816.72837401717,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-08-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-09-01",-4399.06256202309,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-09-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-09-05",-4811.03849682177,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-09-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-09-07",-4816.42435064955,NA,0.0131861147313519,0.5,0.970118567445445,9,9,9,2013-09-01,-998,"Total revenues accrual","Y_lag1; Hourly earnings_leg0; Business turnover index_leg0; Retail sales_leg0; Private consumption_leg0; HICPX_leg0; Energy prices_leg0; Stock market_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-09-15",-477.33231550046,NA,0.184697005378849,0.5,1.09627789071337,4,4,4,2013-09-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-09-26",-477.33231550046,NA,0.184697005378849,0.5,1.09627789071337,4,4,4,2013-09-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-09-27",-342.785552588792,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-09-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-10-01",-358.331455323488,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-10-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-10-02",-358.331455323488,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-10-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-10-05",-358.331455323488,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-10-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-10-15",-429.03525932107,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-10-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-10-27",-406.40113682705,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-10-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-10-31",-406.40113682705,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-10-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-11-01",-1032.1009126277,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-11-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-11-05",-1032.1009126277,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-11-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-11-15",-391.202225514867,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-11-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-11-27",-368.568103020847,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-11-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-11-28",-368.568103020847,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-11-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-12-01",246.895025082442,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-12-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-12-05",246.895025082442,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-12-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-12-07",246.895025082442,NA,0.187519196264519,0.5,1.11084263850277,4,4,4,2013-12-01,601,"Total revenues accrual","Y_lag1; Hours worked_leg0; HICPX_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-12-15",-117.282026763505,NA,0.178990023791991,0.5,1.2886524714207,3,3,3,2013-12-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-12-26",-117.282026763505,NA,0.178990023791991,0.5,1.2886524714207,3,3,3,2013-12-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2013-12-27",-117.282026763505,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2013-12-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-01-01",144.014662226979,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-01-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-01-03",144.014662226979,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-01-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-01-05",144.014662226979,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-01-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-01-15",701.803665889754,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-01-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-01-27",701.803665889754,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-01-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-01-30",701.803665889754,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-01-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-02-01",935.06636827886,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-02-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-02-05",935.06636827886,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-02-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-02-06",935.06636827886,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-02-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-02-15",812.248391966415,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-02-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-02-27",812.248391966415,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-02-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-03-01",1247.21941931675,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-03-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-03-05",1247.21941931675,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-03-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-03-06",1247.21941931675,NA,0.178990023791991,0.5,1.27771261890793,3,3,3,2014-03-01,1073,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-03-15",816.25881921642,NA,0.148614516367169,0.5,1.12409599459022,3,3,3,2014-03-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-03-27",816.25881921642,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-03-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-04-01",-24.613259245206,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-04-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-04-02",-24.613259245206,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-04-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-04-05",-24.613259245206,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-04-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-04-15",-9.18145840532452,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-04-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-04-24",-9.18145840532452,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-04-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-04-27",-9.18145840532452,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-04-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-05-01",-676.137612864577,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-05-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-05-04",-676.137612864577,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-05-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-05-05",-676.137612864577,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-05-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-05-15",-290.787670066621,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-05-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-05-27",-290.787670066621,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-05-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-05-29",-290.787670066621,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-05-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-06-01",109.994073571218,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-06-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-06-05",109.994073571218,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-06-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-06-07",109.994073571218,NA,0.148614516367169,0.5,1.12076888077106,3,3,3,2014-06-01,1653,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-06-15",1405.97312776382,NA,0.146739823483725,0.5,1.14950156073559,3,3,3,2014-06-01,-1194,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-06-26",1405.97312776382,NA,0.146739823483725,0.5,1.14950156073559,3,3,3,2014-06-01,-1194,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
"sg_lasso","Spain","Revenues","2014-06-27",1405.97830951376,NA,0.146739823483725,0.5,1.14413439240399,3,3,3,2014-06-01,-1194,"Total revenues accrual","Y_lag1; Hours worked_leg0; Cash revenues_leg0","OK",NA
